,Luchthaven,Jaartal,Totaal ATM,Totaal Commercieel ATM,C. Geregeld PAX ATM,C. Geregeld Cargo ATM,C. Ongeregeld PAX ATM,C. Ongeregeld Cargo ATM,C. Brandstof ATM,C. Positievlucht ATM,C. Taxivlucht ATM,C. Fotovlucht ATM,C. Rondvlucht ATM,C. Reclamevlucht ATM,C. Spuitvlucht ATM,C. Ambulancevlucht ATM,C. Overig ATM,Totaal Non-Commercieel ATM,NC. Zakenvlucht ATM,NC. Privévlucht ATM,NC. Valschermvlucht ATM,NC. Zweefsleepvlucht ATM,NC. Politievlucht ATM,NC. Inspectievlucht ATM,NC. Maatschappelijke vlucht ATM,NC. Les/Oefenvlucht ATM,NC. Proef/Testvlucht ATM,NC. Overig ATM,Regio,Regio Totaal
67,Lelystad,2011,123044.0,6173.0,0.0,15.0,15.0,0.0,17.0,1240.0,0.0,204.0,4588.0,18.0,0.0,3.0,73.0,116871.0,545.0,30872.0,7.0,0.0,83.0,255.0,4.0,84706.0,273.0,126.0,Oost,197383.0
68,Lelystad,2012,114530.0,3356.0,0.0,0.0,0.0,1.0,2.0,1269.0,0.0,154.0,1854.0,12.0,0.0,3.0,61.0,111174.0,582.0,30790.0,20.0,0.0,86.0,191.0,7.0,79132.0,255.0,111.0,Oost,185193.0
69,Lelystad,2013,106080.0,4874.0,0.0,0.0,0.0,0.0,13.0,1210.0,0.0,248.0,3290.0,3.0,0.0,2.0,108.0,101206.0,556.0,27252.0,12.0,1.0,84.0,251.0,16.0,72724.0,200.0,110.0,Oost,171204.0
70,Lelystad,2014,98998.0,3804.0,0.0,0.0,1.0,0.0,9.0,1377.0,0.0,163.0,2218.0,5.0,0.0,1.0,30.0,95194.0,502.0,29621.0,7.0,0.0,13.0,223.0,4.0,64516.0,251.0,57.0,Oost,156258.0
71,Lelystad,2015,93818.0,4969.0,0.0,0.0,1.0,0.0,9.0,1377.0,0.0,256.0,3234.0,10.0,0.0,3.0,79.0,88849.0,387.0,29672.0,2.0,0.0,25.0,340.0,3.0,58186.0,202.0,32.0,Oost,136914.0
72,Lelystad,2016,91310.0,5203.0,0.0,0.0,2.0,0.0,7.0,1405.0,2.0,402.0,3242.0,0.0,0.0,9.0,134.0,86107.0,498.0,28869.0,6.0,0.0,73.0,419.0,2.0,55998.0,202.0,40.0,Oost,131967.0
73,Lelystad,2017,84218.0,4703.0,0.0,0.0,0.0,0.0,6.0,1227.0,5.0,312.0,3104.0,2.0,0.0,4.0,43.0,79515.0,396.0,25531.0,0.0,0.0,40.0,362.0,0.0,52976.0,162.0,48.0,Oost,123845.0
74,Lelystad,2018,103365.0,3768.0,0.0,0.0,0.0,0.0,1.0,1413.0,0.0,193.0,2100.0,0.0,0.0,4.0,57.0,99597.0,402.0,26051.0,22.0,0.0,24.0,251.0,4.0,72525.0,160.0,158.0,Oost,149409.0
75,Lelystad,2019,97387.0,3328.0,0.0,0.0,0.0,0.0,7.0,1081.0,3.0,313.0,1770.0,0.0,0.0,11.0,143.0,94059.0,299.0,20941.0,0.0,0.0,95.0,299.0,4.0,72123.0,235.0,63.0,Oost,142904.0
76,Lelystad,2020,76946.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,76189.0,177.0,13292.0,0.0,0.0,124.0,0.0,0.0,62482.0,62.0,52.0,Oost,125693.0
77,Midden-Zeeland,2010,24536.0,2146.0,5.0,4.0,8.0,0.0,0.0,4.0,2.0,257.0,1387.0,100.0,0.0,7.0,372.0,22390.0,150.0,11688.0,1979.0,1100.0,116.0,189.0,110.0,6538.0,259.0,261.0,West,90405.0
78,Midden-Zeeland,2011,24430.0,2138.0,2.0,1.0,16.0,0.0,0.0,24.0,0.0,267.0,1118.0,87.0,0.0,7.0,616.0,22292.0,250.0,11133.0,1849.0,1302.0,136.0,205.0,241.0,6807.0,238.0,131.0,West,96081.0
